,expected_information_gain
supplements,0.0055002744236690715
5,0.005497038365846252
recommended,0.005483268718396661
depression,0.00535700658362015
patients,0.005356082214961755
due,0.005330686237731919
neuromuscular,0.005315376929686644
pharmacokinetics,0.0052965230043835465
blocking,0.005227375440584825
local,0.005206097759766215
receiving,0.005204707664189789
depressants,0.0051937525891149194
CNS,0.005036664311540595
by,0.004987956453136544
central,0.0048492859753132
nondepolarizing,0.004793927768070083
monitored,0.004750156399901173
Cmax,0.004732749518175483
additive,0.004653821871331898
3,0.004604602332769159
in,0.004584211291468576
other,0.004556449044163968
agents,0.004498495219937171
used,0.004474220708831189
were,0.004465578072801346
dose,0.004394726878513278
approached,0.004327277817455455
presence,0.0042917785659752905
narcotic,0.004260813159239207
decrease,0.004246388807198964
others,0.004218728552694562
salts,0.004211435514775097
interaction,0.004207774088204275
metabolized,0.004148596542214222
when,0.004100507783591167
type,0.00406594027376872
antihypertensive,0.004010354520410209
or,0.003979807808326297
colistimethate,0.003950955956058433
did,0.003907044024020978
anti-diarrhea,0.0038752949574629714
kaolin-pectin,0.0038752949574629714
absorbent-type,0.0038752949574629714
The,0.003864330173283692
are,0.0038321453162697416
bleeding,0.003823083568984087
inducers,0.003813566802443713
general,0.0037946480014163786
evaluating,0.003723214845873457
1,0.0036662370286730805
administered,0.00361839250840168
enzyme,0.003559916979999578
increased,0.003482923207937527
Type,0.003468706339518013
advised,0.0034629377798531813
Other,0.003444680503534414
1C,0.0034428980136111953
antiarrhythmics,0.0034327635771025378
concomitantly,0.0034211175953035022
chloride,0.0033253889836661887
such,0.003323587999310318
potassium,0.003319388890417274
grapefruit,0.0032627140391565668
juice,0.0032627140391565668
reported,0.0032525234889231314
was,0.0032433669875207016
estradiol,0.0032375341740209507
nervous,0.003192445140109079
including,0.0031161463493727393
excretion,0.0031095077637701696
considered,0.003082369427889642
you,0.003073524268686345
antifungals,0.0030622223429103146
tricyclic,0.0030411847175031426
mg,0.003011958426701211
KT,0.0029893546381082325
levonorgestrel/ethinyl,0.0029893546381082325
to,0.0029818277860094167
certain,0.0029652716185855077
If,0.0028976805845406517
muscle,0.0028938501660970006
relaxants,0.0028775907406555223
analgesics,0.0028690150773709178
serious,0.00283865210088019
taken,0.0028379928246057284
affect,0.002826641339411462
pharmacokinetic,0.00282134133634937
as,0.002812889759277293
tubular,0.0027646210976568497
within,0.0027599938987628025
adjustment,0.002755973212624996
effect,0.00274297079087904
half-life,0.002737633483204993
azole,0.00273298339867567
antidepressants,0.002718144146521717
therapy,0.002704018124998764
Because,0.0026864629366400994
approximately,0.0026698890435452594
MAO,0.0026423140018665414
resulted,0.0026212836597536704
No,0.0026183733934654896
narrow,0.0026176249831580956
strong,0.002610858478381606
it,0.0026043315945768475
combination,0.0025808242215387134
and,0.0025705172925705178
acetylsalicylic,0.002567323229314411
needed,0.0025603729394308994
concentration,0.0025586959362786654
metabolite,0.0025550750438072534
on,0.0025396497799556883
can,0.002539469961876817
been,0.002539466284548375
.,0.0025374305396125285
3A4,0.002533599867540426
any,0.002530017356762504
the,0.002500832821540455
thinners,0.0024947094636579292
drug,0.0024822396857993034
hours,0.002479457316868383
e.g.,0.002469431612709738
depressant,0.002462451300784707
because,0.0024505931224749755
induce,0.002450390728885976
cytochrome,0.002447638077853753
a,0.0024457055564031105
performed,0.0024409363468909095
20,0.0024380076329959532
fatal,0.002421110453155184
birth,0.0024138632784131975
syndrome,0.0023997159506752297
administering,0.0023963337624847147
produce,0.002384931653931277
false,0.002383407081468669
pancreatic,0.0023769644306982363
sunscreens,0.0023759387318444958
sulfa,0.0023759387318444958
para-aminobenzoic,0.0023759387318444958
-containing,0.0023759387318444958
block,0.002366302824939659
respectively,0.0023591999726630952
pills,0.00235826211532264
P450,0.0023561642181726405
potentiated,0.0023532800891182815
avoided,0.002342221902505548
significant,0.002336099200791142
index,0.0023127828960751717
exercised,0.002309113528228046
Based,0.002306432729650254
beta,0.0023000088952735975
bioavailability,0.0022982026274223077
Patients,0.002294189521268253
your,0.0022798023734809103
significantly,0.0022746028080873337
isoenzyme,0.0022617415540782115
risk,0.0022505514323893916
clinical,0.002239973227823322
Data,0.0021987164009410476
give,0.0021956588464094873
care,0.0021896457271607384
vitro,0.0021858400840355507
retinyl,0.0021736603938677934
reduce,0.0021664132141760994
doctor,0.0021478628277505907
before,0.0021448677698538976
healthy,0.0021158559462118864
excessive,0.0020987502162367333
reports,0.0020957261050329468
contraindicated,0.0020618722079974727
ergot-type,0.0020415336899362035
potential,0.0020158182226531762
daily,0.001994610336446434
exposure,0.00197465036507416
theoretical,0.001964499972990419
blurred,0.0019570551850541795
vision,0.0019570551850541795
suggest,0.0019438852102563464
ergotamine-containing,0.0019425674696524897
proliferation,0.0019414337018156536
binding,0.0019243377962007147
control,0.0019181636157394877
have,0.0019145516926519779
pain,0.0018838741163025308
active,0.0018825099887154195
if,0.0018688645628719414
dosage,0.0018659088252963585
potent,0.0018604532902531945
cause,0.0018572698477244964
result,0.00185070839219581
hepatic,0.0018503336887571997
nicotinic,0.00184765512848295
dry,0.0018383333238757293
adrenergic,0.0018363928700781962
skeletal,0.001832133845588002
co-administration,0.0018218499054153403
taking,0.001821285004760198
reactions,0.001819896840786206
possible,0.0018180889850811788
associated,0.0018078681708617594
hyperpyrexia,0.0017963668652996034
occurring,0.0017895614184375574
chboramphenicol,0.0017895614184375574
evidence,0.0017891645655060406
sedative,0.001785340774269617
colistemethate,0.0017836006478476607
hypotension,0.0017765636466771095
mouth,0.001770786054418494
diminish,0.0017698728826665011
use,0.0017522182566919176
carefully,0.001751770287887311
period,0.001751550005132163
treatment,0.001746989139434496
selegiline,0.0017365492666313598
Since,0.00173259638316825
sleeping,0.0017314261084320215
30,0.0017290186112327577
B1,0.0017290113828505316
substances,0.0017183870352466268
pressor,0.001711863481706155
causing,0.0017111024607292524
temperature,0.0017093833702415129
secretion,0.0016991956148026954
mean,0.0016970341942667
sedation,0.0016887185395233484
least,0.0016810370330659907
Consequently,0.001674987313368459
serotoninergic,0.001668287187061912
substrates,0.0016681831836318217
study,0.001666076672849237
e.,0.001665252418448504
end,0.0016605585809359447
will,0.0016586344396665176
closely,0.0016529539229281909
angiotensin-converting,0.0016434128735756115
humidity,0.0016366203377385924
dental,0.0016366203377385924
g.,0.0016137649029946965
CYP2D6,0.0016073459524450495
adrenocortical,0.0015994986091725227
agonist,0.001591490174580934
nonsteroidal,0.0015820921749538641
known,0.0015796197642885534
antagonized,0.0015765482896562544
Depressants,0.0015709531530456733
Nervous,0.0015709531530456733
prothrom-bin,0.0015696139442755719
preparations,0.0015668611325049264
Loop,0.0015644522245360504
System,0.0015627801664193086
under-dosage,0.0015503317399030436
diet,0.0015503317399030436
-,0.0015494745049311476
In,0.001549380567128611
being,0.001542180295800999
Antidepressants,0.0015421489725195858
antiparkinsonian,0.0015383789481865362
reuptake,0.0015214493739049706
Tell,0.0015192867895603701
intraconazole,0.0015192867895603701
shown,0.001508314957931356
coma,0.0015053405494555028
cautiously,0.0015039922756056034
nonselective,0.001503592967054268
basic,0.0015027189605480995
acidic,0.0015027189605480995
observation,0.001499133273909159
blockers,0.0014957862533542254
severe,0.0014941833888454381
exposed,0.0014823047491502317
epithelium,0.0014800141517383736
required,0.0014737250230031362
activity,0.0014643547065440465
had,0.001461426861831261
serotonin,0.0014614207095775544
B,0.0014475072195270222
who,0.0014473014692882868
test,0.0014430511569337723
an,0.0014355308863213123
modest,0.0014350846395405625
warranted,0.0014347563606492697
adverse,0.001430793638843797
psychotropic,0.001428737572571892
hypoglycemic,0.0014252512815381424
potentiate,0.0014241523557433355
agonists,0.001420013896352601
initiated,0.0014178810822018661
serum,0.0014167957717735602
which,0.0014160116910429954
undertaken,0.0014052927020131722
intake,0.001404156438804094
Tricyclic,0.0013999407431068978
sinus,0.0013939374712242936
decongestant,0.0013939374712242936
allergy,0.0013939374712242936
3A,0.0013918464548986487
necessary,0.0013916619220347703
incidence,0.0013886458355458764
appropriate,0.0013747701691959602
does,0.0013718974968713882
psychotic,0.001370212630359413
many,0.0013671327147877221
NOT,0.0013661864805977197
sedating,0.001359807535530666
inhibit,0.0013582434646525199
administration,0.0013554038382008748
patient,0.001342092479170387
Central,0.0013356095864164308
i.e.,0.0013343801494967167
systemic,0.0013285455399230095
effectiveness,0.0013262057461816967
2,0.001324362796654488
drug-drug,0.0013215275837092921
folic,0.0013176998212732771
cold,0.001309724051146599
delay,0.0013021116730238536
episodes,0.001296784348067903
extensively,0.0012955991426116809
like,0.0012917290679831384
gastrointestinal,0.0012909824724485208
more,0.0012870776300137887
at,0.001285349274169123
inhibits,0.0012812727288282755
volunteers,0.0012774074567942773
antipsychotic,0.0012768608671981374
24,0.0012709216880590901
conducted,0.0012675641851077613
Coadministration,0.0012648478435882682
examples,0.0012627436331887898
Diuretics,0.0012526402722945473
decreases,0.0012489361159739865
hydrochloride,0.001248284251915921
tell,0.0012436039462583315
Before,0.0012436039462583315
has,0.0012421226639094396
Agonist/Antagonist,0.0012420243669327702
Analgesics,0.0012420243669327702
Opioid,0.0012420243669327702
Mixed,0.0012420243669327702
Agonist/antagonist,0.0012420243669327702
substrate,0.0012410861109146687
results,0.0012394482350500668
],0.0012383105852540321
[,0.0012383105852540321
secondary,0.0012374425975534287
clinically,0.0012367702021426341
interfere,0.0012346981321975647
death,0.0012320824272020747
therefore,0.0012239512380144424
related,0.0012236759854107326
referred,0.0012205253130164184
make,0.0012205253130164184
exceed,0.0012192113714531994
course,0.0012147702272817806
multiple,0.0012140156636237798
avoid,0.0012138835135915294
CYP3A,0.0012120023748918296
ovarian,0.0012083108574401091
below,0.001207020449338847
women,0.0012056560760606017
antianxiety,0.0012036378025243044
system,0.0011975708932125961
complications,0.0011957498674430855
therapeutic,0.0011919793305795734
choline,0.0011908966713469749
magnesium/choline,0.0011908966713469749
anti-infectives,0.0011906723823149612
synthetase,0.0011906723823149612
calcium-channel,0.0011906723823149612
a-blockers,0.0011906723823149612
Certain,0.0011894266534091535
dose-dependent,0.0011888754726172568
listed,0.0011872331354370047
concurrently,0.0011850125888236418
increases,0.0011847718402431262
antagonize,0.0011830389462748059
dopamine,0.0011821259249109595
alone,0.0011811906529405336
range,0.0011781495879513715
sympathomimetic,0.001175301123679251
during,0.001173158040979616
renal,0.0011685587318519541
mg/day,0.0011646709347732376
thiazide,0.0011589623645766878
anticipated,0.0011588583124929608
containing,0.001157010541884107
blood-glucose-lowering,0.0011569628317362746
must,0.0011550187499237419
resulting,0.0011541820286041782
opioid,0.0011534740682680455
K,0.0011483502506710597
single,0.001146716948480453
produced,0.0011425888021356911
inducer,0.0011423295953092438
most,0.0011386304974992933
require,0.0011355209441844538
sometimes,0.001123960364297294
exhibit,0.0011233942921202722
retard,0.0011230940236753861
trials,0.0011210167893963563
than,0.001117906958009618
function,0.0011167616532503644
each,0.0011151262437713028
for,0.0011127500334624507
polymyxin,0.0011110851777903497
amphotericin,0.0011054186675545363
acute,0.0011046652289306014
pH,0.0011027751466895497
loop,0.0011011673440967096
treated,0.001095717211386349
CNS-depressant,0.0010933756957181018
80,0.001085458552396057
magnesium,0.0010851418904874732
These,0.001083623965683067
using,0.001081170934258635
extreme,0.0010804097844208105
monitoring,0.0010801220630789476
showed,0.0010798827330483762
glaucoma,0.001075004756829312
ergot,0.0010739674644048014
rarely,0.0010721074680486442
extent,0.0010719130050955705
lower,0.0010708499509762825
veratrum,0.0010663070273408959
60,0.0010599256915976296
reduced,0.001055173499703077
profound,0.0010540571853702163
bismuth,0.0010510464500939065
subsalicylate,0.0010510464500939065
eg,0.0010472878061633661
natriuretic,0.001045562992333715
induced,0.0010452234393990567
between,0.0010435776832442567
sleep,0.001041470952202861
aid,0.001041470952202861
anti-depressants/anti-anxiety,0.001041470952202861
phenothiazine,0.001041470952202861
overactive,0.001041470952202861
drowsy,0.001041470952202861
drowsiness-causing,0.001041470952202861
For,0.001040137797510221
weakness,0.001036238258812272
hyperreflexia,0.001036238258812272
incoordination,0.001036238258812272
macrolide,0.0010352207049078022
experience,0.0010344294607903537
medicine,0.0010340445526554332
initiating,0.0010327301835373337
ethyl,0.0010312206937784785
max,0.0010292232255117995
dosing,0.0010273729449057356
anticholinergic,0.0010272242618193372
some,0.00102567864843639
Concurrent,0.0010254404957651397
etc,0.0010251373777908634
discontinued,0.0010248526314319273
AUC0-,0.0010233304600966164
doubled,0.0010233304600966164
le,0.0010233304600966164
cations,0.0010108551396746934
ACE,0.0010088059170676456
actions,0.0010049145669175363
Available,0.001004102739318169
coadministration,0.001003478151924475
elimination,0.0010008570465820377
10,0.0010001503116309207
It,0.0009989045270539787
stable,0.0009985455756214012
steady-state,0.0009964063320879735
together,0.00099610626767066
blockade,0.0009906209101833152
50,0.0009905258550957363
respiratory,0.0009850079748295881
investigated,0.0009818531931101715
reacts,0.0009817478127576162
neutral,0.0009817478127576162
medication,0.0009794036637542636
analgesic,0.0009748482915105106
platelet,0.0009709765797999426
Additive,0.0009683708309285999
received,0.0009662195075426094
combined,0.0009645907425616107
diabetic,0.0009637433803714179
prostaglandin,0.0009632700021929841
infusion,0.0009593051795659946
either,0.0009591474079547746
--,0.000955234983108455
commonly,0.0009550869389700622
Use,0.0009527832505207279
occur,0.0009483668296670356
influence,0.0009440241704898877
transdermal,0.0009436400688109803
generally,0.0009388612309584321
Human,0.0009380063434584196
Interactions,0.0009379303385401716
calcium,0.0009358614622203554
adjusted,0.0009355957321774966
analog,0.0009321234790554689
conjugated,0.0009321234790554689
possibility,0.000931750026772038
danger,0.0009315265589819877
diuretics,0.0009285726349086421
protein,0.000926693643026888
cholinesterase,0.0009235380016966444
faster,0.0009212524315140858
Nephrotoxic,0.0009205620076295773
LA,0.0009205620076295773
DETROL,0.0009205620076295773
interval,0.0009173717657999791
hypotensive,0.0009157451141679207
until,0.0009143752173301767
once,0.0009135725123917693
CYP2C9,0.0009132536026900118
potentiating,0.0009104223835019187
expect,0.0009031074643249815
begins,0.0009031074643249815
reasonable,0.0009031074643249815
dinitrate,0.0009023112577591919
transcriptase,0.0009023112577591919
glyceryl,0.0009023112577591919
Example,0.0009023112577591919
trinitrate,0.0009023112577591919
Examples,0.0009023112577591919
acidifying,0.0009020176382769085
hypertension,0.000898544639636234
latter,0.0008920256188937881
ferrous,0.0008905425369133413
Avoid,0.0008893323367551442
specific,0.0008876400165289677
altered,0.0008846280205550006
conduction,0.0008836411817084722
acetate,0.0008801978464129112
nitrous,0.0008756191626677623
state,0.000875300589864958
well,0.0008744831070304215
2D6,0.0008744307199805013
elapse,0.0008739602722532824
diuretic,0.0008709993352472578
titrated,0.0008709215193996034
When,0.0008701746702631796
enhanced,0.0008699116654236061
injectable,0.000868549950866937
intravenous,0.0008680136339875855
alcohol,0.0008679972275079662
antidiabetic,0.0008674719719307111
chewable/buffered,0.000858841169800173
powder,0.000858841169800173
evaluated,0.0008553234328405601
centrally,0.0008523376370749292
might,0.0008486937621018376
myocardium,0.0008481163206235376
media,0.0008467885255462049
s,0.0008440169207126758
another,0.0008392739149256645
inhibition,0.0008335913768511283
levothyroxine,0.000832765758668419
penicillin,0.0008282623561199909
G,0.0008282623561199909
isozyme,0.0008274659561432474
close,0.0008268340866444124
intensify,0.0008230890581847339
inhibitor,0.000822084970764636
total,0.0008207196241515335
500,0.0008194726371357763
maleate,0.0008191187232874375
channel,0.0008181968698722786
duration,0.0008163683061862548
sulfate,0.00081467160509896
Absorption,0.0008107793799079221
initial,0.0008092909237654711
indicated,0.0008084867001374452
modification,0.0008057778672905247
themselves,0.0008057778672905247
regulate,0.0008057778672905247
prostate,0.0008057778672905247
through,0.0008046505621996936
antiarrhythmic,0.0008034903773769253
since,0.0008031221856156234
steady,0.0008029424450015643
multivitamin,0.000802347296264605
metal,0.000802347296264605
its,0.0007997216511088645
solution,0.000799548811006412
classes,0.0007986213179465018
myocardial,0.0007984449976203845
these,0.0007969214801228919
Close,0.0007924584229650478
pressure,0.0007919667562651389
biloba,0.000790589237169792
Ginkgo,0.000790589237169792
Allium,0.000790589237169792
herbs,0.000790589237169792
sativum,0.000790589237169792
garlic,0.000790589237169792
subjects,0.0007892442735867311
see,0.0007889562104941295
this,0.0007885302442567355
Selective,0.0007872480337867138
initiation,0.0007869912895179798
antineoplastic,0.0007838135528148715
Concomitant,0.0007835232776485235
inotropic,0.0007830741627210536
days,0.0007816121340380455
H2,0.0007810984310185898
fold,0.0007806028671384357
hydrocarbon,0.0007793105579556592
halogenated,0.0007793105579556592
involving,0.0007787037649262807
divalproex,0.0007773025047983495
15,0.0007766528637501713
toxicity,0.0007754092554205227
enhances,0.0007734755078179223
M,0.0007734755078179223
hydroxychloroquine,0.0007731735409641782
Sj,0.0007731735409641782
estrogens,0.0007731735409641782
grens,0.0007731735409641782
artificial,0.0007731735409641782
tears,0.0007731735409641782
14,0.0007705040821870401
potentiates,0.0007703748510587971
Urinary,0.0007690323552391742
determinant,0.0007690323552391742
esters,0.0007690323552391742
irrational,0.0007674914780931852
hallucinations,0.0007674914780931852
antidepressants.When,0.0007674914780931852
without,0.0007669895227323531
increasing,0.0007663768939956128
alkaloids,0.000765850484387931
but,0.0007645481938224341
Potential,0.00075996596824357
non-steroidal,0.0007595965090887447
urinary,0.0007593919427445472
then,0.0007569493565319219
pharmacodynamics,0.0007565342608013559
40,0.0007545521582685843
formal,0.0007528751166296921
intestinal,0.0007493763898231975
potassium-sparing,0.0007473281002212673
gastric,0.0007468840039088764
convulsions,0.0007450248870739529
desired,0.0007426952515832141
ordinarily,0.0007418240199748016
high,0.0007415850851233419
effective,0.0007412173477799877
liver,0.0007392612963301737
markedly,0.0007389821769052674
prostatic,0.0007388854749474927
similarly,0.0007380825531094759
amines,0.000734351640257147
Nevertheless,0.0007320876888334826
treat,0.0007316815554330169
isosorbide,0.0007309426132915409
Administration,0.0007271976191126628
there,0.0007261644426171943
's,0.0007261451032091193
onset,0.0007258915604232419
18,0.0007250682573222145
frequently,0.0007244489959410405
led,0.0007225136090287521
adrenocorticoids,0.0007216937457329431
cortisone-like,0.0007216937457329431
antidepressant,0.0007193281228916604
Co-administration,0.0007178242029695081
from,0.0007176798758694591
ethinyl,0.0007154064475606292
hydroxide,0.000713211486670029
reduction,0.0007128604262375271
multivalent,0.0007127490411403814
separate,0.0007124529555653236
experienced,0.0007096749247967882
autonomic,0.0007092948403912835
only,0.0007078014634770424
compared,0.0007074532469953931
oxide,0.0007067109254583759
area,0.0007027516941700007
behavior,0.0007024985195348554
synergistic,0.0007024985195348554
non-selective,0.0006992293985237374
primary,0.0006992186350532892
sites,0.0006979688340900125
capsule,0.0006972311324220382
Injection,0.0006954579849299813
whose,0.0006948591237353474
succinate,0.0006920805263166407
iron-containing,0.0006915726221004004
constipation,0.0006909676591630998
augment,0.0006909676591630998
hormones,0.0006899688243398039
200,0.0006896256890949193
displacement,0.0006883088632418932
limited,0.0006880447902165576
advisable,0.0006861636959126782
AV,0.00068567510981421
curve,0.0006849082356321645
monitor,0.000684836389446053
shortness,0.0006815390203466221
Radiation,0.0006815390203466221
Live,0.0006815390203466221
Bone,0.0006815390203466221
dyscrasia,0.0006815390203466221
myelotoxicity,0.0006815390203466221
Killed,0.0006815390203466221
Neurotoxic,0.0006815390203466221
13,0.0006813852478072535
anesthesia,0.0006811802136383882
43,0.0006805197315948863
analyses,0.0006803850004392098
coadministering,0.0006795957144081211
#,0.0006795957144081211
href=,0.0006795957144081211
doxorubicin,0.0006794066776557584
HCL,0.0006785731829723751
Products,0.0006785164242130159
develop,0.0006783462731657641
peak,0.0006771825137179555
Ophthalmic,0.0006766606228576499
species,0.000676418541667001
basis,0.0006763703986027991
neurologic,0.0006745497007749623
nephrotoxic,0.0006743771222827988
change,0.0006728560939897044
breath,0.0006722837993993203
placebo-controlled,0.0006713853950783832
different,0.0006676977507368287
values,0.0006660825062092535
..,0.0006643436549405024
one,0.0006632357734522865
normal,0.0006618909566395992
anesthetics,0.0006605063984452819
beta-adrenergic-blocking,0.0006596727467454988
importance,0.0006596559705536187
John,0.0006581616430610948
termed,0.0006567570375869414
augmented,0.0006567570375869414
constellation,0.0006567570375869414
Synergism,0.0006567570375869414
sumatriptan,0.0006567570375869414
Perhexiline,0.0006557045945143614
medical,0.000655339664514254
stopping,0.000655339664514254
switching,0.000655339664514254
Inducers,0.0006540721337040534
cough,0.0006540394939277272
channel-blocking,0.0006540394939277272
vasodilators,0.0006540394939277272
antigout,0.0006540394939277272
motion,0.0006540394939277272
sickness,0.0006540394939277272
majority,0.0006540394939277272
parentheses,0.0006540394939277272
115,0.0006540394939277272
CONTRAINDICATIONS,0.0006538785949163906
unless,0.0006538785949163906
depress,0.0006538785949163906
several,0.0006530650240530456
benzodiazepine,0.0006528990145360236
angina,0.0006522508915163261
Magnesium-,0.0006507401709969773
cholinergic,0.0006506037580109592
digitalis,0.0006498977923296012
antinociceptive,0.0006495963134789395
particularly,0.0006493616629660304
supervision,0.0006482076269225256
assessed,0.0006480087239508769
Drug,0.0006479871114446478
rare,0.000647669608258683
usually,0.0006469350202931157
bound,0.0006465448128559759
predictable,0.0006463070422881856
Tablets,0.0006457691705519242
counteract,0.000642711447076505
vascular,0.0006413711007823286
dopaminergic,0.0006412187089760435
IIb/IIIa,0.0006412187089760435
6,0.0006409779779010805
exhibits,0.0006405839510145173
important,0.0006404698827457977
vaccines,0.0006403083736030712
users,0.0006401445384751625
twice,0.000640120962732027
aluminum-containing,0.0006399004262147567
bradycardia,0.0006323942167787422
rate,0.000632171956325922
abnormalities,0.0006310848945296765
25,0.0006300626875528348
medroxyprogesterone,0.0006296795949296552
about,0.0006283145165039139
products,0.0006260777495714631
Population,0.0006244923853313544
mycophenolate,0.0006242664728295377
approximate,0.0006233911708442008
seizures,0.0006226711169614596
prevented,0.000622563930623321
Day,0.0006211150206901772
5-HT1,0.000620519953080656
categories,0.0006199968078102192
side,0.0006195587701514071
22,0.0006174688804752027
catecholamines,0.0006159582505160799
Monoamine,0.0006154029710796483
Hg,0.0006151226067923066
Solution,0.0006105822123808613
starting,0.0006099702051144407
BID,0.0006075439902694102
thereby,0.0006069696721971996
electrolyte,0.0006068038904625261
initiates,0.0006056782601007171
discontinues,0.0006056782601007171
impair,0.0006045964125854786
do,0.0006031263295547262
QTc,0.000602302351702444
Macrolide,0.0006015969547549238
P-450,0.0006015084154157302
vaccination,0.0006006287905702123
replication,0.0006006287905702123
bronchospasm,0.0006006287905702123
interferes,0.0006003461480823535
sensitize,0.0006000982734922777
reverse,0.000599631807446932
anti-inflammatory,0.000598090745063673
pure,0.0005977387484130681
adversely,0.0005976307356463373
similar,0.0005976020118240166
window,0.0005964408243669395
cheese,0.0005964408243669395
amine,0.0005964408243669395
imipramine,0.0005964408243669395
bananas,0.0005964408243669395
yogurt,0.0005964408243669395
wine,0.0005964408243669395
ripe,0.0005964408243669395
exposures,0.0005957956224218464
topical,0.0005957643528045065
Vitamin,0.0005953553192161731
and/or,0.0005952962642682413
PK,0.0005944976456255802
influenced,0.0005944976456255802
mofetil,0.0005944976456255802
0.5,0.0005937794622288273
aluminum,0.0005922148864304644
evaluate,0.0005917136495192654
Pharmacodynamic,0.0005916231444237363
hypnotics,0.0005916231444237363
thioxanthene,0.0005916231444237363
nonbarbiturate,0.0005916231444237363
phenothiazines,0.0005916231444237363
butyrophenone,0.0005916231444237363
salt,0.0005914106671760511
mm,0.0005905756880886237
particular,0.0005904837414245634
sustained,0.0005893571271656795
potentially,0.0005891982788625016
need,0.0005891566584070862
partially,0.0005888036019837672
caused,0.0005885198007951065
1.25,0.0005874630718392115
very,0.0005868799944154235
ileus,0.0005868799944154235
prescribed,0.0005865691476243384
chronic,0.0005850883727438472
produces,0.000584488292503238
Cmin,0.0005840171972608665
tail-flick,0.00058306799661767
depresses,0.00058306799661767
content,0.0005820405104852711
thus,0.0005813439049126012
nefazadone,0.0005807742589307718
amount,0.0005804319516071743
prolongation,0.0005799953412582992
400,0.0005797467029853287
serotonergic,0.0005782525619427714
nitroprusside,0.0005775681156798829
coumarin,0.0005772629736526813
arrhythmias,0.0005749092278669599
profile,0.0005746540901803154
selective,0.000574426713063847
dose-related,0.0005742611420007648
Plasma,0.0005739413948749883
Hormonal,0.0005708061710567591
lowered,0.0005703252860020935
discontinuing,0.0005699712856889194
likely,0.0005661994023921091
Isozymes,0.0005655152762725768
elevated,0.0005614203528385708
marrow,0.0005613441745628833
inhibited,0.0005612954051976704
Previous,0.0005605510189866658
Blood,0.0005598704922253894
PT,0.000558348730424596
21,0.0005578815945403992
Accordingly,0.0005578779464615602
23,0.0005576302682146483
Days,0.0005558287203396572
susceptibility,0.0005548123978109665
sulfonylurea,0.0005548123978109665
St,0.0005548123978109665
tromethamine,0.0005515803254094731
antiinflammatory,0.000548841945723133
52,0.0005477280009773544
chance,0.0005477280009773544
cardiovascular,0.0005472148648767439
mitogenic,0.0005466485389267195
two,0.0005457625350109296
Serious,0.0005449140241599038
Catecholamine-depleting,0.0005449140241599038
sulfonamide,0.0005448922501706255
somatostatin,0.0005448922501706255
Secretion,0.0005448603519740969
Active,0.0005448603519740969
Tubular,0.0005448603519740969
